"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX10398885","NextSeq 550 paired end sequencing; B43_7_7","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733602","Pacific oyster","2282.45","1","18335039","5530185543","B43-2-130_S30_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398884","Illumina NovaSeq 6000 paired end sequencing; B42_2_150","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733601","Pacific oyster","2833.9","1","40188171","8064266646","b42-2-150","Bisulfite-Seq","GENOMIC","other"
"ERX10398883","NextSeq 550 paired end sequencing; B41_3_27","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733600","Pacific oyster","1975.1","1","15380010","4638805750","B41-3-27_S40_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398882","NextSeq 550 paired end sequencing; B40_2_112","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733599","Pacific oyster","4195.31","1","34527051","10412645793","B40-2-112_S50_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398881","NextSeq 550 paired end sequencing; B37_4_159","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733598","Pacific oyster","2325.34","1","18727917","5648477494","B37-4-159_S32_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398880","NextSeq 550 paired end sequencing; B36_1_54","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733597","Pacific oyster","2215.14","1","20099703","6060476914","B36-1-54_S30_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398879","NextSeq 550 paired end sequencing; B3_4_160","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733596","Pacific oyster","2233.8","1","17149163","5172172196","B3-4-160_S44_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398878","Illumina NovaSeq 6000 paired end sequencing; B34_1_213","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733595","Pacific oyster","2563.29","1","35330380","7078441220","b34-1-213","Bisulfite-Seq","GENOMIC","other"
"ERX10398877","NextSeq 550 paired end sequencing; B32_7_42","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733594","Pacific oyster","3257.47","1","26557456","8009075946","B32-7-42_S33_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398876","Illumina NovaSeq 6000 paired end sequencing; B31_6_548","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733593","Pacific oyster","2115.54","1","29015113","5819594718","b31-6-548","Bisulfite-Seq","GENOMIC","other"
"ERX10398875","NextSeq 550 paired end sequencing; B30_7_166","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733592","Pacific oyster","2418.2","1","19433813","5861561833","B30-7-166_S48_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398874","Illumina NovaSeq 6000 paired end sequencing; B24_2_199","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733591","Pacific oyster","1210.35","1","16405596","3292185254","b24-2-199","Bisulfite-Seq","GENOMIC","other"
"ERX10398873","Illumina NovaSeq 6000 paired end sequencing; B23_7_165","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733590","Pacific oyster","2894.33","1","40729203","8178791130","b23-7-165","Bisulfite-Seq","GENOMIC","other"
"ERX10398872","Illumina NovaSeq 6000 paired end sequencing; B22_2_311","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733589","Pacific oyster","1519.59","1","20793930","4171898588","b22-2-311","Bisulfite-Seq","GENOMIC","other"
"ERX10398871","Illumina NovaSeq 6000 paired end sequencing; B20_2_154","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733588","Pacific oyster","2673.73","1","36263603","7277478295","b20-2-154","Bisulfite-Seq","GENOMIC","other"
"ERX10398870","Illumina NovaSeq 6000 paired end sequencing; B19_7_91","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733587","Pacific oyster","1419.62","1","20287515","4061697417","b19-7-91","Bisulfite-Seq","GENOMIC","other"
"ERX10398869","NextSeq 550 paired end sequencing; B18_1_214","Magallana gigas","NextSeq 550","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733586","Pacific oyster","64.99","1","579602","174789059","B18-1-214_S27_ME_ME_L001","Bisulfite-Seq","GENOMIC","other"
"ERX10398868","Illumina NovaSeq 6000 paired end sequencing; B14_3_202","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733585","Pacific oyster","1384.97","1","19875770","3971461630","b14-3-202","Bisulfite-Seq","GENOMIC","other"
"ERX10398867","Illumina NovaSeq 6000 paired end sequencing; B13_7_131","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733584","Pacific oyster","2564.93","1","36004288","7222801516","b13-7-131","Bisulfite-Seq","GENOMIC","other"
"ERX10398866","Illumina NovaSeq 6000 paired end sequencing; B12_8_147","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733583","Pacific oyster","2839.87","1","39733690","7971444120","b12-8-147","Bisulfite-Seq","GENOMIC","other"
"ERX10398865","Illumina NovaSeq 6000 paired end sequencing; B11_6_546","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733582","Pacific oyster","1979.76","1","27750626","5555018419","b11-6-546","Bisulfite-Seq","GENOMIC","other"
"ERX10398864","Illumina NovaSeq 6000 paired end sequencing; B10_2_308","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733581","Pacific oyster","2746.45","1","38644702","7754991306","b10-2-308","Bisulfite-Seq","GENOMIC","other"
"ERX10398863","Illumina NovaSeq 6000 paired end sequencing; D39_1_9","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733580","Pacific oyster","2468.01","1","39614101","7922820200","200729_A00902_A_L002_ASWX-6-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398862","Illumina NovaSeq 6000 paired end sequencing; D7_2_153","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733579","Pacific oyster","2719.43","1","43381514","8676302800","200729_A00902_A_L002_ASWX-6-7","Bisulfite-Seq","GENOMIC","other"
"ERX10398861","Illumina NovaSeq 6000 paired end sequencing; E57_4_124","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733578","Pacific oyster","3081","1","49525469","9905093800","200729_A00902_A_L002_ASWX-6-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398860","Illumina NovaSeq 6000 paired end sequencing; I35_7_678","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733577","Pacific oyster","2791.01","1","45102531","9020506200","200729_A00902_A_L002_ASWX-6-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398859","Illumina NovaSeq 6000 paired end sequencing; I39_4_429","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733576","Pacific oyster","2436.1","1","39234844","7846968800","200729_A00902_A_L002_ASWX-6-4","Bisulfite-Seq","GENOMIC","other"
"ERX10398858","Illumina NovaSeq 6000 paired end sequencing; B25_2_73","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733575","Pacific oyster","3342.2","1","53719031","10743806200","200729_A00902_A_L002_ASWX-6-3","Bisulfite-Seq","GENOMIC","other"
"ERX10398857","Illumina NovaSeq 6000 paired end sequencing; J19_3_113","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733574","Pacific oyster","2605.88","1","41736263","8347252600","200729_A00902_A_L002_ASWX-6-2","Bisulfite-Seq","GENOMIC","other"
"ERX10398856","Illumina NovaSeq 6000 paired end sequencing; J56_3_208","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733573","Pacific oyster","3600.75","1","57741689","11548337800","200729_A00902_A_L002_ASWX-6-1","Bisulfite-Seq","GENOMIC","other"
"ERX10398855","Illumina NovaSeq 6000 paired end sequencing; D41_8_71","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733572","Pacific oyster","1025.57","1","16765072","3353014400","200729_A00902_A_L002_ASWX-5-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398854","Illumina NovaSeq 6000 paired end sequencing; D21_8_70","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733571","Pacific oyster","977.59","1","16005815","3201163000","200729_A00902_A_L002_ASWX-5-7","Bisulfite-Seq","GENOMIC","other"
"ERX10398853","Illumina NovaSeq 6000 paired end sequencing; C18_1_55","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733570","Pacific oyster","961.87","1","15722253","3144450600","200729_A00902_A_L002_ASWX-5-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398852","Illumina NovaSeq 6000 paired end sequencing; B39_5_161","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733569","Pacific oyster","751.91","1","12243831","2448766200","200729_A00902_A_L002_ASWX-5-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398851","Illumina NovaSeq 6000 paired end sequencing; E19_8_84","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733568","Pacific oyster","963.76","1","15592448","3118489600","200729_A00902_A_L002_ASWX-5-4","Bisulfite-Seq","GENOMIC","other"
"ERX10398850","Illumina NovaSeq 6000 paired end sequencing; D25_1_242","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733567","Pacific oyster","732.67","1","11922179","2384435800","200729_A00902_A_L002_ASWX-5-3","Bisulfite-Seq","GENOMIC","other"
"ERX10398849","Illumina NovaSeq 6000 paired end sequencing; J23_7_684","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733566","Pacific oyster","872.25","1","14023852","2804770400","200729_A00902_A_L002_ASWX-5-2","Bisulfite-Seq","GENOMIC","other"
"ERX10398848","Illumina NovaSeq 6000 paired end sequencing; E45_8_727","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733565","Pacific oyster","754.03","1","12320952","2464190400","200729_A00902_A_L002_ASWX-5-1","Bisulfite-Seq","GENOMIC","other"
"ERX10398847","Illumina NovaSeq 6000 paired end sequencing; J37_2_312","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733564","Pacific oyster","1383.92","1","22532070","4506414000","200729_A00902_A_L002_ASWX-4-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398846","Illumina NovaSeq 6000 paired end sequencing; B38_1_180","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733563","Pacific oyster","1668.51","1","27162864","5432572800","200729_A00902_A_L002_ASWX-4-7","Bisulfite-Seq","GENOMIC","other"
"ERX10398845","Illumina NovaSeq 6000 paired end sequencing; E23_1_221","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733562","Pacific oyster","1540.45","1","24686909","4937381800","200729_A00902_A_L002_ASWX-4-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398844","Illumina NovaSeq 6000 paired end sequencing; B4_1_44","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733561","Pacific oyster","1973.86","1","31964011","6392802200","200729_A00902_A_L002_ASWX-4-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398843","Illumina NovaSeq 6000 paired end sequencing; B26_4_13","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733560","Pacific oyster","1363.09","1","21989172","4397834400","200729_A00902_A_L002_ASWX-4-4","Bisulfite-Seq","GENOMIC","other"
"ERX10398842","Illumina NovaSeq 6000 paired end sequencing; C2_4_183","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733559","Pacific oyster","1269.78","1","20473431","4094686200","200729_A00902_A_L002_ASWX-4-3","Bisulfite-Seq","GENOMIC","other"
"ERX10398841","Illumina NovaSeq 6000 paired end sequencing; I55_4_459","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733558","Pacific oyster","1606.56","1","25874171","5174834200","200729_A00902_A_L002_ASWX-4-2","Bisulfite-Seq","GENOMIC","other"
"ERX10398840","Illumina NovaSeq 6000 paired end sequencing; J41_4_416","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733557","Pacific oyster","1377.47","1","21926082","4385216400","200729_A00902_A_L002_ASWX-4-1","Bisulfite-Seq","GENOMIC","other"
"ERX10398839","Illumina NovaSeq 6000 paired end sequencing; B46_5_30","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733556","Pacific oyster","2213.13","1","35335954","7067190800","200729_A00902_A_L001_ASWX-3-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398838","Illumina NovaSeq 6000 paired end sequencing; C19_8_699","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733555","Pacific oyster","2053.83","1","32773525","6554705000","200729_A00902_A_L001_ASWX-3-7","Bisulfite-Seq","GENOMIC","other"
"ERX10398837","Illumina NovaSeq 6000 paired end sequencing; E28_8_132","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733554","Pacific oyster","2346","1","37726900","7545380000","200729_A00902_A_L001_ASWX-3-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398836","Illumina NovaSeq 6000 paired end sequencing; E51_8_728","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733553","Pacific oyster","92.13","1","1494006","298801200","200729_A00902_A_L001_ASWX-3-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398835","Illumina NovaSeq 6000 paired end sequencing; B51_8_16","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733552","Pacific oyster","1788.78","1","28854258","5770851600","200729_A00902_A_L001_ASWX-3-4","Bisulfite-Seq","GENOMIC","other"
"ERX10398834","Illumina NovaSeq 6000 paired end sequencing; D53_2_10","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733551","Pacific oyster","2030.91","1","32711089","6542217800","200729_A00902_A_L001_ASWX-3-3","Bisulfite-Seq","GENOMIC","other"
"ERX10398833","Illumina NovaSeq 6000 paired end sequencing; I42_1_253","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733550","Pacific oyster","2052.24","1","32831653","6566330600","200729_A00902_A_L001_ASWX-3-2","Bisulfite-Seq","GENOMIC","other"
"ERX10398832","Illumina NovaSeq 6000 paired end sequencing; D48_5_64","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733549","Pacific oyster","2173.12","1","35043421","7008684200","200729_A00902_A_L001_ASWX-3-1","Bisulfite-Seq","GENOMIC","other"
"ERX10398831","Illumina NovaSeq 6000 paired end sequencing; C60_8_702","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733548","Pacific oyster","3159.43","1","50657803","10131560600","200729_A00902_A_L001_ASWX-2-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398830","Illumina NovaSeq 6000 paired end sequencing; J16_2_339","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733547","Pacific oyster","2377.23","1","38339069","7667813800","200729_A00902_A_L001_ASWX-2-7","Bisulfite-Seq","GENOMIC","other"
"ERX10398829","Illumina NovaSeq 6000 paired end sequencing; J55_1_265","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733546","Pacific oyster","2647.12","1","42053593","8410718600","200729_A00902_A_L001_ASWX-2-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398828","Illumina NovaSeq 6000 paired end sequencing; D30_4_172","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733545","Pacific oyster","1714.38","1","27490908","5498181600","200729_A00902_A_L001_ASWX-2-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398827","Illumina NovaSeq 6000 paired end sequencing; E5_1_255","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733544","Pacific oyster","1781.86","1","28216362","5643272400","200729_A00902_A_L001_ASWX-2-4","Bisulfite-Seq","GENOMIC","other"
"ERX10398826","Illumina NovaSeq 6000 paired end sequencing; D27_1_250","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733543","Pacific oyster","2388.23","1","38407547","7681509400","200729_A00902_A_L001_ASWX-2-3","Bisulfite-Seq","GENOMIC","other"
"ERX10398825","Illumina NovaSeq 6000 paired end sequencing; E55_2_45","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733542","Pacific oyster","2099.37","1","33057387","6611477400","200729_A00902_A_L001_ASWX-2-2","Bisulfite-Seq","GENOMIC","other"
"ERX10398824","Illumina NovaSeq 6000 paired end sequencing; I49_3_375","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733541","Pacific oyster","2527.15","1","40538415","8107683000","200729_A00902_A_L001_ASWX-2-1","Bisulfite-Seq","GENOMIC","other"
"ERX10398823","Illumina NovaSeq 6000 paired end sequencing; J30_7_650","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733540","Pacific oyster","1091.71","1","17591749","3518349800","200729_A00902_A_L001_ASWX-1-8","Bisulfite-Seq","GENOMIC","other"
"ERX10398822","Illumina NovaSeq 6000 paired end sequencing; E49_3_61","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733539","Pacific oyster","1271.42","1","20381930","4076386000","200729_A00902_A_L001_ASWX-1-7","Bisulfite-Seq","GENOMIC","other"
"ERX10398821","Illumina NovaSeq 6000 paired end sequencing; B52_5_144","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733538","Pacific oyster","993.82","1","15694776","3138955200","200729_A00902_A_L001_ASWX-1-6","Bisulfite-Seq","GENOMIC","other"
"ERX10398820","Illumina NovaSeq 6000 paired end sequencing; B60_3_59","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733537","Pacific oyster","1271.9","1","20409245","4081849000","200729_A00902_A_L001_ASWX-1-5","Bisulfite-Seq","GENOMIC","other"
"ERX10398819","Illumina NovaSeq 6000 paired end sequencing; C52_7_118","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733536","Pacific oyster","1316.52","1","20976014","4195202800","200729_A00902_A_L001_ASWX-1-4","Bisulfite-Seq","GENOMIC","other"
"ERX10398818","Illumina NovaSeq 6000 paired end sequencing; C49_2_57","Magallana gigas","Illumina NovaSeq 6000","Ifremer","ERP145459","Genetic and epigenetic variations underpin rapid adaptation of oyster populations (Crassostrea gigas) to Pacific Oyster Mortality Syndrome (POMS)","ERS14733535","Pacific oyster","1086.3","1","17331783","3466356600","200729_A00902_A_L001_ASWX-1-3","Bisulfite-Seq","GENOMIC","other"
